Comments,Happy,Sad,Angry,Disgust,Support,Insightful,Care,Love,Fear,Surprise,Curiosity,Nostalgic,Humor
From a funny cricketer to the PM of UK  Hardwork pays off,0,0,0,0,1,0,0,0,0,0,0,0,0
Ask your Father in Law in India who thinks humans are robots who are expected to work for 70 hours a week,0,0,0,0,0,0,0,0,0,0,0,0,1
People in 2000:in 25 years robots will conquer the world. Meanwhile in 2023: hey robot can you stand up????,0,0,0,0,0,0,0,0,0,0,0,0,1
Look at what Boston dynamics is doing in America. This little robot is generations behind. Europeans/Asians can't compete.,0,1,0,0,0,0,0,0,0,0,0,0,0
This robot could be next PM,0,0,0,0,0,0,0,0,0,0,0,0,1
What the hell is he doing there while the people of UK struggling with inflation?,0,0,1,0,0,0,0,0,0,0,0,0,0
This robot is just like UK current military and economy. Small and down.,0,0,1,1,0,0,0,0,0,0,0,0,1
Year 2100 kids are watching these clips & laughing at PM's exciting about a robot standing up... Cause now Robots can do dance for them,0,0,0,0,0,1,0,0,0,0,0,0,0
Thats the only briton gonna vote for rishi next election,0,0,0,0,0,0,0,0,0,0,0,0,1
Robot demonstrating how Britain stands up to his command.,0,0,0,0,0,0,0,0,0,0,0,0,1
He rather risk his life than to deal with Jada!!,0,0,0,0,0,0,0,0,0,0,0,0,1
I remember when we installed all this equipment the view was spectacular I was up there for at least several hours,0,0,0,0,1,0,0,0,0,0,0,1,0
"Mr. Smith finally living it alone, how lonely it feels on top.",0,1,0,0,0,0,0,0,0,0,0,0,0
Mr. Will Smith what are you doing there...,0,0,0,0,0,0,0,0,0,0,1,0,1
"Heavenly i pray that he finds the Peace,love and blessings that he needs and desires in his Life!",0,0,0,0,1,0,1,0,0,0,0,0,0
The happiest I've seen him since prince,0,0,0,0,0,0,0,0,0,0,0,0,1
He's trying to get away from Jada,0,0,0,0,0,0,0,0,0,0,0,0,1
My all time favourite hero... Will Smith,,,,,,,,,,,,,
He is leaving nothing on the table of life and I love it.,0,0,0,0,0,0,0,1,0,0,0,0,0
He is actually the real life hancock when he is away from her he is the strongest,,,,,,,,,,,,,
She's the most humble heartwarming person to ever exist 🥰🤩😮😮😮😮😮😮,1,0,0,0,1,0,1,0,0,0,0,0,0
Will smith getting as far away from JADA PINCKETT SMITH AS POSSIBLE,0,0,0,0,0,0,0,0,0,0,0,0,1
"Will be like: ""Chris can't follow me here, neither can Jada, ahhh the peace"" ️  Look how happy he looks",0,0,0,0,0,0,0,0,0,0,0,0,1
Will thinking he's a savage with that safety bond,0,0,0,0,0,0,0,0,0,0,0,0,1
who is scrolling down the comments to see if it's working?,0,0,0,0,0,0,0,0,0,0,1,0,1
The editor should get an oscar award!,,,,,,,,,,,,,
"I took 45 minutes to make it but did not come back. It's fake, confirmed.",0,1,1,0,0,1,0,0,0,0,0,0,0
Mine came back to me .... as i rushed to the other side of the living room.,1,0,0,0,0,1,0,0,0,0,0,0,0
The tutorial needs a tutorial and i did it! Thanks bro!,1,0,0,0,1,0,0,0,0,1,0,0,1
Now people dont even need friend to play Frisbee anymore,0,0,0,0,0,0,0,0,0,0,0,0,1
Mine is working and need to throw at a specific angle,1,0,0,0,1,0,0,0,0,0,0,0,0
It's really amazing and it's really work,1,0,0,0,1,0,0,0,0,1,0,0,0
Physics left when it rotates back wards,0,0,0,0,0,0,0,0,0,0,0,0,1
And i wonder.. if you know.. HOW DID THAT NOT BUTTER THAT WAS AN A330,0,0,0,0,0,0,0,0,0,1,0,0,0
Captain is Good for landing that plane,,,,,,,,,,,,,
Pilots need a big raise for this,1,0,0,0,1,0,1,0,0,0,0,0,0
Blud did a butter with the nose gear,0,0,0,0,1,0,0,0,0,0,0,0,0
Bro almost have the same ending like Fedex 80,0,0,0,0,0,0,0,0,0,0,0,1,0
Can we just thank this guy for not making it a flashy edit,,,,,,,,,,,,,
Perfect example for Ryanair landings,0,0,0,0,0,0,0,0,0,0,0,0,0
this plane was almost destroyed,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Every landing you walk away from is a good landing"" -first rule in aviation school",0,0,0,0,0,1,0,0,0,0,0,0,0
Still smoother than a Ryanair landing,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ah yes, the perfect thing to watch 3 days before a flight. Classic",1,0,0,0,0,0,0,0,0,0,0,0,1
Bro goes 220 knot and engine broke. Captain best i ever seen,0,0,0,0,0,0,0,0,0,0,0,0,1
"Road to 750k!!!  Thank you for subscribing  Even better videos to come     And as always, sources in the video description :)",1,0,0,0,0,1,0,0,0,0,0,0,0
That 9 layers of junk is only to check if its a iphone or not,0,0,1,0,0,1,0,0,0,0,0,0,1
Please don't pay Apple $200 for a cable.,0,0,1,0,0,0,0,0,0,0,0,0,0
"""Oh no the production cost is like 2$ higher lets maje the cable over 100$ then""  -apple probably",0,0,1,0,0,1,0,0,0,0,0,0,1
"Bro, even 50 dollars cable do the same job as the 160 dollar cable.",0,0,0,0,0,1,0,0,0,0,0,0,1
Dude got paid by Apple to post this nonsense,0,0,1,0,0,0,0,0,0,0,0,0,1
Apple users trying to explain that they aren't brainwashed:,0,0,0,0,0,0,0,0,0,0,0,0,1
"It’s not just about profits? Dude, even apples best value products are all about profits. Every single product that seeks to make money is all about profits.",0,0,1,0,0,1,0,0,0,0,0,0,0
now compare it to a $50 one,0,0,0,0,0,0,0,0,0,0,0,0,1
"""cool what are you going to use it for?""
""charging my phone overnight""",0,0,0,0,0,0,0,0,0,0,1,0,0
Apple could put their logo on a rock and this man would be explaining the millions of years it took the rock to form to justify the $499 price point.   FYI - Apple is probably writing this down as we speak.,0,0,1,1,0,0,0,0,0,0,0,0,1
This robot got more expressions than Mark Zuckerberg,0,0,0,0,0,0,0,0,0,1,0,0,1
She looks so proud of herself,1,0,0,0,1,0,0,0,0,0,0,0,0
"""..are you asking for a friend?""   OUCH!!!",0,0,0,0,0,0,0,0,0,0,1,0,1
My man will go down as the first person to ever get dissed by a robot,0,1,0,0,0,0,0,0,0,0,0,0,1
"At least she doesn’t say “as an AI language model, I am unable to have relationships with humans”",0,1,0,0,0,1,0,0,0,1,0,0,1
She s going to rule us....her killer smile,1,0,0,0,1,0,0,0,0,0,0,0,0
She could wipe humanity off and have that same sinister smile,0,1,1,0,0,0,0,0,0,1,0,0,1
The look into the camera at the end was like a scene in The Office.,0,0,0,0,0,1,0,0,0,0,0,0,0
I’m just 13 and I hope my life doesn’t go like this but as seeing how many men in the comment agree I’m worried about my life.,0,1,0,0,0,0,0,0,1,1,0,0,0
"Keep calm, I'm 'almost' a doctor. Wow wholesome",0,0,0,0,0,0,0,0,0,0,0,0,0
One of the most interesting and important chapter,0,0,1,0,0,0,0,0,0,1,0,0,1
Who are droppers like me?? studing hard to achieve their goals...,0,1,0,0,0,0,1,0,0,0,1,0,0
Bro u are reading fantastic chapter  I am love this chapter so much because doubt clear very easily,1,0,0,0,1,0,0,1,0,0,0,0,0
what is name of that book u are reading can u Tell me please,0,0,0,0,0,0,1,0,0,0,1,0,0
Bruh I'm study now this topic from biomentor,0,0,0,0,0,1,0,0,0,0,0,0,0
I proud of BTS  Thank you BTS you come to life,1,0,0,0,1,0,1,0,0,0,0,0,0
Their struggle is real  I really appreciate their hardwork and respect them  Proud of BTS  Thanks u BTS for coming into our lives and changing them in a positive way  Love u and will always support u till the very end,1,0,0,0,1,1,1,1,0,0,0,0,0
There's noone like BTS . Their success's limit is beyond the sky . They are not someone that fades away over time . We won't be getting another BTS,1,0,0,0,1,1,1,0,0,0,0,0,0
As an Army I cried.So much effort Such dedication  Our boys made it to the top and to millions of hearts where they belong....,1,1,0,0,1,1,1,0,0,0,0,0,0
I cried when I heard him saying that they cleaned hotel rooms,0,1,0,0,0,0,1,0,0,0,0,0,0
"i don't know why everybody is just seeing their success but not their hardwork ,struggle they are really a inspration",0,1,1,0,1,0,1,0,0,1,0,0,0
There is a struggle behind every successful man,0,0,0,0,1,1,1,0,0,0,0,0,0
it's soo hard to see their struggle they deserve the world only army know their every painful moment it make me cry but these people don't understand,0,1,1,0,1,0,1,0,0,0,0,0,0
I am proud of you BTS are my inspiration I will never give up on my dream like them,1,0,0,0,1,0,1,0,0,0,0,0,0
Bro he made the best comeback of all time,1,0,0,0,1,0,1,0,0,1,0,0,0
"""No baby I'm not a baker... ...I'm a sleeper""   •proceedes to sleep again •",0,0,0,0,0,1,0,0,0,0,0,0,1
At the end He did the real job of a man,0,0,0,0,1,0,1,0,0,1,0,0,0
"I'm not a Baker, I loved the way he said to her.",1,0,0,0,1,0,0,1,0,0,0,0,0
Real sigma spotted,1,0,0,0,0,0,0,0,0,0,0,0,1
He does the real data mining.,0,0,0,0,0,1,0,0,0,1,0,0,1
Looks like a black magic specialist,0,0,0,0,0,0,0,0,0,1,0,0,1
Must be some crucial data on that thing!,0,0,0,0,0,1,0,0,0,1,0,0,0
The spider board looks like they are doing a ritual on the flash card,0,0,0,0,0,0,0,0,0,1,1,0,0
Keep up the good work,1,0,0,0,1,0,0,0,0,0,0,0,0
they did surgery on a thumb drive,0,0,0,0,0,1,0,0,0,1,0,0,0
"It's almost 2024 and i am still awestruck by the memory card technology. Can never get around my head on how come these tiny things stores thousands of images, videos and everything",1,0,0,0,1,0,0,0,0,1,0,1,0
"This is crazy cool, looks like a small torture device 😂",1,0,0,0,1,0,0,0,0,1,0,0,1
The usb got acupuncture treatment,0,0,0,0,0,0,0,0,0,1,0,0,1
"This ain't data mining, this is data archeology",0,0,0,0,0,1,0,0,0,1,0,0,0
What state are you in? If you're open to it I need a data recovery expert and would love to pass some work out for folks great at their craft like this!,0,0,0,0,1,0,0,0,0,0,1,0,0
"Beautiful work! Please, what's that blue pen you use to scrap the card? Cheers!",0,0,0,0,1,0,0,0,0,1,1,0,0
This is what your non tech saavy family members think when you restart a frozen laptop to fix it 😅,1,0,0,0,0,0,0,0,0,1,0,1,1
"Wowww, I’m hoping this makes big bucks, quite the job to do + tools and experience. I still can’t believe it’s 2023 though and people put all their important shit on a single USB stick",0,0,0,0,1,1,0,0,0,1,0,0,1
"This is what archeology in the future is going to be like. Speaking of which, can someone make a channel all about finding old hard drives and extracting the data from them?",1,0,0,0,1,1,0,0,0,1,0,0,0
If flash drives had DRM this is what youd need to do to use them.,0,0,0,0,0,1,0,0,0,0,1,0,0
Awesome. I cannot imagine how this can be possible. It's literally data surgery.,1,0,0,0,1,1,1,0,0,1,0,0,0
That’s skill my friends,1,0,0,0,1,1,0,0,0,0,0,0,0
Who you tryin summon?,0,0,0,0,0,0,0,0,0,1,1,0,0
Now that spider board is what I call a professional Bodge.,0,0,0,0,0,1,1,0,0,1,0,0,0
Looks a bit like some of the computer forensics we did in the 1980s.,0,0,0,0,0,1,0,0,0,1,0,1,0
"Ngl, that contraption looks like a torture device for USB flash drive",0,0,0,0,0,0,1,0,0,1,0,0,0
So the spider board helps read each point individually and it's assembled back together by the PC? This is some seriously cool stuff,0,0,0,0,1,1,0,0,0,1,1,0,0
"That isn’t a real cigarette but a rolled up paper. Never touch a cigarette, ever!",0,0,1,0,0,1,1,0,0,0,0,0,0
You are the perfect example to inspire the youth...hats off you men,0,0,0,0,1,0,0,0,0,0,0,0,0
Bro destroyed NPCs in seconds,0,0,0,0,1,0,0,0,0,1,0,0,1
"Very true, they don’t like others being better then them. It is just their mentality.",0,0,0,0,1,1,0,0,0,0,0,0,0
"This is the definition of ""let your hard work talk""",0,0,0,0,1,1,1,0,0,0,0,0,0
"If once read a quote that said ""when you fall, no one comes to pick you up, but when you fly, everyone comes to pull you down""",0,1,1,0,0,1,0,0,0,0,0,1,0
Bro... Our generation got a right mannn Damnnn we support youhh,1,0,0,0,1,0,1,0,0,0,0,0,0
"So truee, when u are on weong path no one cares but whenever u are trying to improve and work hard for ur success everyone starts interfering. All because they can't see u reach the highest.",0,1,1,1,1,1,1,0,0,0,0,0,0
People that are always jealous is so sad and the worst part is that it comes from your own family and friends 90% of the time,0,1,1,1,0,0,0,0,0,0,0,0,0
Real defination of the society,0,1,0,0,0,1,0,0,0,0,0,0,0
That can actually work like grenade,0,0,0,0,0,1,0,0,0,1,0,0,0
Nothing like a fresh bottle of hornet to get you going in the morning,0,0,0,0,0,1,0,0,0,0,0,0,0
I think you need a bigger bottle ..,0,0,0,0,0,1,1,0,0,0,0,0,0
"""oops dropped the bottle"" 💀💀",0,1,0,0,0,0,1,0,0,1,0,0,1
The modern bee bomb  inspired by far cry primal,0,0,0,0,0,1,0,0,0,0,0,0,1
Legend still tells that still holds the weight of the bottle to this day. Doomed to suffer the same fate as atlas or be stung 400+ times XD,0,0,0,0,1,1,0,0,0,0,0,1,1
"Looks like you need a bigger bottle …🤔
Sending much love to all ❤",0,0,0,0,1,0,1,1,0,0,0,0,0
Everyone's a gangsta until bee start moving inside again 💀,0,0,0,0,1,0,0,0,0,0,0,0,1
"Thats how cleopatra made her- Well anyways, they got photographic memory so they gonna be huntin you down",0,1,0,0,0,1,1,0,0,0,0,0,1
"They would fit more if the bottle was bigger, but what a great idea",0,0,0,0,1,1,0,0,0,0,0,0,0
Bro took “cameraman never dies” to a whole new level,0,0,0,0,1,0,0,0,0,1,0,0,1
Pov trying to find a language that is understandable,0,0,0,0,0,1,0,0,0,0,0,0,1
Can't believe no one in the past wars ever think of using wasp grenades. Cheap and environmentally friendly,0,0,0,0,0,1,0,0,0,1,0,0,1
Thor in avengers with tummy,0,0,0,0,0,0,0,0,0,0,0,0,1
Ranbir Kapoor he a actor  makes him grandfather and father proud,0,0,0,0,1,0,1,0,0,0,0,0,0
His acting like South actors,0,0,0,0,0,1,0,0,0,1,0,0,1
It was a huge success because of your support So happy to include myself,1,0,0,0,1,0,1,0,0,1,0,1,0
Makes you feel young again🥹,1,0,0,0,1,0,0,0,0,0,0,1,0
and then it turns into a nucleus,0,0,0,0,0,1,0,0,0,1,0,0,0
"As someone who' been in several houses in the US and Europe, I can confirm that there are all kinds of different shutters, blinds, shades and curtains with all kinds of buttons, cables, chains, remotes and even cranks on both sides of the ocean - it doesn't really depend on the country but rather on the house you're in.",0,0,0,0,0,1,0,0,0,0,0,0,0
Girl said “I am” she was not tying to pull it down,0,0,0,0,0,1,0,0,0,1,0,0,0
Ice never looked so blown to pieces than it does in this video…,0,0,0,0,1,1,0,0,0,1,0,0,0
As an american i dont know who tf has a button for a curtain,0,0,1,1,0,0,0,0,0,1,1,0,0
America has these but they’re like ALOT harder to control,0,0,0,0,0,1,0,0,0,0,0,0,0
"We don't have blind here in Denmark, we only got curtains that can make it darker, but the weather are also mostly like in the UK rainy and cloudy",0,0,0,0,0,1,0,0,0,0,0,0,0
Wish we had them in the US. When I was In Germany you could block out ALL light from the entire apartment we stayed it. Was awesome,0,1,0,0,0,1,0,0,0,0,0,1,0
That was cool man. Good vid.,0,0,0,0,1,0,0,0,0,1,0,0,0
Horse ear tooo perfect scene ❤❤,1,0,0,0,1,0,0,1,0,1,0,0,0
What the hail😂😮,0,0,0,0,0,0,0,0,0,1,0,0,1
Basically how we imagine arguments going in our heads while in the showers.,0,0,0,0,0,1,0,0,0,0,0,0,0
"Teacher : What's the defination of power, Trent?
Trent : My father is the Dean here!
Teacher : you're correct",0,0,0,0,0,0,0,0,0,0,0,0,1
"A wise uncle once said: “With great power, comes great responsibility.”",0,0,0,0,0,1,0,0,0,0,0,1,0
"""You are a powerless slave because you are in school""

That's all I heard lol",0,0,0,0,0,1,0,0,0,0,0,0,1
I hope whoever wrote this feels really proud of herself,0,0,0,0,1,0,0,0,0,0,0,0,0
Backbenchers: Power is work per unit time✨,0,0,0,0,0,0,0,0,0,0,0,0,1
“That’s power and you don’t have any”. Drops class and re enrolls in another course,0,0,0,0,0,0,0,0,0,0,0,0,1
"""Yeah that would be so badass if I said that"" - the writer",0,0,0,0,0,0,0,0,0,0,0,0,1
I feel teachers should be trained this way these days.,0,0,0,0,1,1,0,0,0,0,0,0,0
Physics Students be like: Power is work done/time taken,0,0,0,0,0,0,0,0,0,0,0,0,1
I love how they hear the crack and look both confused and pleased like “that sounded bad why did it feel good???”,0,0,0,0,1,0,0,1,0,0,0,0,0
I love the way every dog instantly starts judging the chiro after the crack,0,0,0,0,1,0,0,1,0,0,0,0,0
Okay but how small the Yorkie and pincher cracks sounded was so cute 🥺,0,0,0,0,1,0,0,0,0,0,0,0,0
The dogs reactions are so amazing but the first dog was hilarious. He was shocked.,0,0,0,0,1,0,0,0,0,0,0,0,0
These dogs' reactions are 100% better than people's at chiropractors,0,0,0,0,1,0,0,0,0,0,0,0,0
Pretty much every veterinarian I've seen online has said please don't take your pets to a chiropractor so.... just fyi,0,0,0,0,0,0,0,0,0,0,0,0,1
Each dog's expression just precious,0,0,0,0,1,0,1,0,0,0,0,0,0
"the rottweiler was so cute, he really said: ""dawg.. what did you do.. and why did that feel good",1,0,0,0,0,0,1,0,0,0,0,0,0
"I simply can't get enough of the surprised, yet confused looks on almost all of these dogs faces after the chiropractor does his work.",0,0,0,0,0,0,0,0,0,0,0,0,0
"""I'm sorry, you're dog is now paralyzed.""",0,1,0,0,0,0,0,0,0,0,0,0,0
I love the fact that both dogs and humans look at the chiropractor the exact same way.,1,0,0,0,1,0,0,1,0,0,0,0,0
"I tried this on my sister. Worked so well, she’s been sleeping for the past 2 days!",0,0,0,0,1,0,0,0,0,0,0,0,1
The rottweiler letting its tongue get shaken is too cute!,0,0,0,0,1,0,0,0,0,0,0,0,0
Half of these comments iritate me. Just like humans. Dogs have bones. Muscles. Nerves. And tissue. They can sleep wrong. My dog when he was 5 years old had slept bad. His neck was tilted to the side and he never moved it. Everytime he tried he yelped in pain. A vet told us he had messed up his neck sleeping bad. Dogs are more athletic then us and even though there bodies are different dosent mean they cant pinch a nerve or have strained a muscle. These shorts are from a guy who actually cares for the dog. Dogs may not be verbally able to tell you whats wrong but they show you. There neck is tilted weird or they walk funny. We dont know how the dogs in this short walked before so stop assuming they just take a dog to this guy just because they want to,0,0,1,0,0,0,0,0,0,0,0,0,0
I love how gentle he is with the smaller dogs,0,0,0,0,1,0,0,1,0,0,0,0,0
"The pitbull was like, ""you was about to get an ass whipping but I'm feeling to good now."" LMFAO",0,0,0,0,0,0,0,0,0,0,0,0,1
thankyou so much for the tutorial it really helped a lot my dog had difficulty while sleeping but after i adjusted his backbone as you did he is sleeping well for continously 3 days.that shows how much he missed his sleep.,1,0,0,0,1,0,0,0,0,0,0,0,0
"i love how every single dog is like ""what the fuck did you do to me?!'",0,0,0,0,0,0,0,0,0,0,0,0,1
The dogs reactions are brilliant. They know he's a good man and that he's definitely there to help,0,0,0,0,1,0,0,0,0,0,0,0,0
It’s so cute when they turn around and give you those eyes. “What are you doing to me hooman? “”I think I love you Doctor”,,,,,,,,,,,,,
Never let a chiropractor near your neck the rest of the medical professions say they are dangerous even when not around your neck,,,,,,,,,,,,,
That’s got to be the bravest chiropractor I’ve ever seen,,,,,,,,,,,,,
"I like how those dogs were like
""What did you do to me?""😂",,,,,,,,,,,,,
bro their reactions are so precious,0,0,0,0,1,0,1,0,0,0,0,0,0
I just love how a majority of the dogs’ reactions are like “WTF how did you do that?!”,1,0,1,0,1,0,0,1,0,1,0,0,1
The look of confusion and relief is just so wholesome lol,1,0,0,0,0,0,0,0,0,0,0,0,1
"“Oh, shit! Was that ME?!” Says every dog in this video!",0,0,0,0,1,0,0,0,0,1,0,0,1
i love how he’s so much more gentle with the lil guys,1,0,0,0,1,0,0,1,0,0,1,0,0
You know hes a pro when all the friendly dogs all have the same reaction,0,0,0,0,1,0,0,0,0,0,0,0,0
I can almost hear them asking “What did you just do? ” lmao,1,0,0,0,0,0,0,0,0,0,0,0,1
Sometimes Rottweilers are the nicest animals,0,0,0,0,1,1,0,0,0,0,0,0,0
That Rottweiler was genuinely stunned at how relieved it felt!,0,0,0,0,1,0,0,0,0,1,0,0,0
That face on the first dog is priceless,0,0,0,0,1,0,1,0,0,0,0,0,0
The tiny cracks for the yorkie and Chihuahua killed me omg,0,0,0,0,1,0,0,0,0,1,0,0,1
That first fur baby and his face... melted my heart,1,0,0,0,1,0,1,0,0,0,0,0,0
"Instructions unclear, my cat can no longer walk or breathe",0,1,1,1,0,0,0,0,0,0,0,0,0
My dog's psychiatrist advised me I should take him to a chiropractor. He suffers from bipolar and schizophrenia which gives him muscle tension.,0,0,0,0,1,0,0,0,0,0,0,0,0
My fear of heights could NEVER,0,0,0,0,0,1,0,0,1,0,0,0,0
Not me thinking that stone can fall,0,0,0,0,0,1,0,0,0,0,0,0,0
Nah they just braver,0,0,0,0,1,0,0,0,1,1,0,0,0
The only video where the reality was ACTUALLY DECENT,1,0,0,0,1,0,0,0,0,0,0,0,0
First clip - wasn’t fake and wasn’t reality it was same  Second clip - was also same thing Third clip - she went in summer so there is no way of rain,0,0,0,0,0,0,0,0,0,0,0,0,0
all of them actually look better in the later videos though. I would still visit them.,0,0,0,0,1,0,0,0,0,0,0,0,0
I get scared of heights easily,0,0,0,0,0,1,0,0,1,0,0,0,0
"It's not about the rock falling, I trust it. I ain't trusting myself tho'",0,1,0,0,0,1,0,0,0,1,0,0,1
Maturity is when you realise that insta part is also reality and that reality is also the insta part for us as a watcher,0,0,0,0,0,1,0,0,0,0,0,0,0
Animals reaction to chiro is the sweetest idk why just is they look so confused but not in pain anymore,1,0,0,0,0,0,1,0,0,1,0,0,0
These animals are living a better life than me,0,1,0,1,0,0,0,0,0,0,0,0,0
"I saw one of these where the dog was a big rottweiler and, the dog just liked the attention at first, then he was one of those dogs that looked shocked for a moment, than happy. It was adorable.",,,,,,,,,,,,,
Those are some very well-behaved dogs,,,,,,,,,,,,,
Those animals think he is crazy. But their relief is amazing.,,,,,,,,,,,,,
Got to love their wide eyes,,,,,,,,,,,,,
"This is so cool. Great review, too 😊",,,,,,,,,,,,,
Strap is nice,,,,,,,,,,,,,
Which phone are you pairing it with?,0,0,0,0,0,0,0,0,0,0,1,0,0
How much is that,0,0,0,0,0,0,0,0,0,0,1,0,0
It also depends on what day or month you go in,0,0,0,0,0,1,0,0,0,0,0,0,0
"It's not that Instagram vs reality it's filter and without filter 
If it is right pls put like 😊",0,0,0,0,0,1,0,0,0,0,0,0,1
Maturity is when you realise that Instagram is also reality,0,0,0,0,0,1,0,0,0,0,0,0,0
2nd scene is really beautiful,,,,,,,,,,,,,
Fun fact: the social media is also reality and even without filter !!,0,0,0,0,0,1,0,0,0,0,0,0,1
Maturity is when u realise that everything is same except seasons,0,0,0,0,0,1,0,0,0,0,0,0,0
Maturity is when you realize that you need to plan your trip to enjoy the 'insta' ones,,,,,,,,,,,,,
Season matter man and that places a beautiful in reality also,,,,,,,,,,,,,
The fact is both video has taken from social media,,,,,,,,,,,,,
Bro thought everytime has the same weather 💀,,,,,,,,,,,,,
Reality isn’t that bad. It can be beautiful too,,,,,,,,,,,,,
Who was waiting for the first apple one's reality like me 😂😂😂😂😂😂,1,0,0,0,0,0,0,0,0,0,1,0,1
dont forget we are watching this through social media,0,0,0,0,0,0,0,0,0,0,0,0,1
Social media is also reality and reality is also social media for us 😂😂,1,0,0,0,0,0,0,0,0,0,0,0,1
Reality is still pretty damn beautiful,0,0,0,0,1,0,0,0,0,1,0,0,0
How we saw life as a kid vs. How we see life as an adult,0,0,0,0,0,1,0,0,0,0,0,0,0
the first girl made it look bad because she was running instead of walking,0,1,0,0,0,0,0,0,0,0,0,0,0
Social media is also reality,,,,,,,,,,,,,
bro...16 GB of storage the operating system alone takes up 10 GB...,,,,,,,,,,,,,
Bro my school Chromebook looked exactly like that and one time I broke it and they charged me $250,,,,,,,,,,,,,
Only result matters no matter how hard u work,,,,,,,,,,,,,
Look at the one who follows him and comes runner up..a clear example of leadership.......,,,,,,,,,,,,,
The Guy got second also deserves a raise,,,,,,,,,,,,,
Looks like second player won heart of viewers,,,,,,,,,,,,,
Am I the only one who noticed the second place guy?,0,0,0,0,0,0,0,0,0,0,1,0,0
Damn.. last 2 r legends,0,0,0,0,1,0,0,0,0,1,0,0,0
The guy behind him also did a great job dude,0,0,0,0,1,0,0,0,0,0,0,0,0
one day before exam,0,0,0,0,0,0,0,0,0,0,0,0,1
For second guy.... if you want to follow.. follow a winner.. not the crowd,0,0,0,0,0,1,0,0,0,0,0,0,0
Runner up just followed the Winner,,,,,,,,,,,,,
The guy behind him also got the 2nd place,,,,,,,,,,,,,
Wait for an opportunity and just put all your efforts there u will succeed,,,,,,,,,,,,,
"Winner was saving energy by being just behind everyone (less air resistance), and in final moment he just gave his final push",,,,,,,,,,,,,
Fire burning inside him was bigger than the fire outside.,,,,,,,,,,,,,
"He literally went through a metal rail at 160 mph, was engulfed in flames and survived",,,,,,,,,,,,,
When god is with you nothing can hurt you😢,,,,,,,,,,,,,
"And This Is Why So Many People Call Him 'The Phoenix'.
Because He Rose From The Flames, And Came Back, Perhaps Stronger.",0,0,0,0,0,0,0,0,0,0,0,0,1
"When noone is expecting, that is when you rise",0,0,0,0,0,0,0,0,0,1,0,0,0
“I survived because the fire inside me burned brighter than the fire around me” - Joshua Graham 2011,0,0,0,0,0,1,0,0,0,0,0,0,0
Grosjean was really blessed to have survived that crash,1,0,0,0,0,0,0,0,1,0,0,0,0
Bro really said I ALWAYS COME BACK,0,0,0,0,1,0,0,0,0,0,0,0,0
He is the main character,0,0,0,0,1,0,0,0,0,0,0,0,0
He came back because he thought of his family. He was not going out like that. True inspiration and badassery!!,,,,,,,,,,,,,
Bro literally did a mission impossible comeback rn,,,,,,,,,,,,,
When God wanna keep you safe,,,,,,,,,,,,,
THE COLDEST MOMENT EVER,,,,,,,,,,,,,
I Will Do 1 Push-up  For Every Like This Comment Gets,,,,,,,,,,,,,
He is always with you even if you have faith in him or not ️ ️,,,,,,,,,,,,,
never give up,,,,,,,,,,,,,
“I’m the man that walked out of fire”,,,,,,,,,,,,,
"This is a real man, when he wakes up to reality and see that her gf or wife just wants the better for him",,,,,,,,,,,,,
He is a true guider of this generation... Hats of broo,,,,,,,,,,,,,
Men always obey to the right things👍,,,,,,,,,,,,,
Dude’s teaching morals ❤,0,0,0,0,0,0,0,1,0,0,0,0,0
His parents has raised him well...,,,,,,,,,,,,,
"This man should be respected with """,,,,,,,,,,,,,
High valued men spotted,,,,,,,,,,,,,
Men always obey to the right thing,,,,,,,,,,,,,
"""Protect this man at all cost""",,,,,,,,,,,,,
Your positivity is so unique!!  Real men !!,0,0,0,0,1,0,0,0,0,0,0,0,0
This man is a real influencer on this future world  Huge respect bro,0,0,0,0,1,0,0,0,0,0,0,0,0
This is a real influencer!,0,0,0,0,1,0,0,0,0,0,0,0,0
'True Love Can Change Anyone Over Time'' -Wise Man,0,0,0,0,1,1,0,1,0,0,0,0,0
"Bro,s doing the duty of teaching morals and sense , which mostly everyone failed to teach , great respect bro",1,0,0,0,1,0,0,0,0,0,0,0,1
much love and respect from England 🫡  the message you are spreading is super inspiring and important,1,0,0,0,1,0,0,1,0,0,0,0,0
I was skipping his videos 1.5 years before but now I'm viewing his videos visiting his YT channel .,0,0,0,0,1,0,0,0,0,0,0,0,0
This dude spends barely any money and still gets amazing products,,,,,,,,,,,,,
Bro searched for copper and found gold,,,,,,,,,,,,,
"Remember, they still make profit off of the $8 air pods",,,,,,,,,,,,,
bro really found the golden product,,,,,,,,,,,,,
Maybe they come from the same Chinese sweatshop as the real ones LOL,,,,,,,,,,,,,
The guy acts so much better than many overpaid Hollywood actors.,0,0,0,0,1,0,0,0,0,0,0,0,0
The fact her voice sounded sarcastic,0,0,0,0,1,0,0,0,1,0,0,0,0
Her loyalty to her boyfriend is next level,0,0,0,0,1,0,0,0,0,1,0,0,0
The girl be like: I don't have humanity since I have a boyfriend!,0,0,0,0,0,0,0,0,0,0,0,0,1
Then Flipped your car' got me laughing,0,0,0,0,0,0,0,0,0,0,0,0,1
